Team,Shooting
Central FL,0.4460
Gonzaga,0.4070
CS Bakersfld,0.3950
Cincinnati,0.4240
Illinois St,0.4220
UC Irvine,0.3970
Wisconsin,0.4530
Wichita St,0.4390
E Carolina,0.4850
San Diego St,0.4470
Connecticut,0.4500
California,0.4570
Michigan St,0.4680
S Methodist,0.4750
GA Tech,0.4960
Alabama,0.4380
Texas A&M,0.4500
Northwestern,0.4360
Old Dominion,0.4500
Baylor,0.4550
Indiana St,0.4480
Louisville,0.4610
Minnesota,0.4660
U Mass,0.4490
Kansas St,0.4450
Jksnville St,0.4470
Monmouth,0.4550
Oakland,0.4200
Norfolk St,0.4530
Virginia,0.4960
UCLA,0.4780
Kansas,0.4740
Florida St,0.4530
St Marys,0.4160
S Florida,0.4880
Georgia,0.4430
Maryland,0.4810
S Carolina,0.4640
E Tenn St,0.4600
U Penn,0.4520
TN State,0.4660
VCU,0.4420
Ball State,0.4440
Florida,0.4490
Ohio State,0.4840
Winthrop,0.4740
IL-Chicago,0.4740
Houston,0.5000
Purdue,0.5190
Oregon,0.4820
Davidson,0.4830
Wyoming,0.4710
Buffalo,0.4760
LA Tech,0.4790
Miami (FL),0.4820
Rhode Island,0.4660
NC Central,0.4630
Mississippi,0.4740
Wagner,0.4640
San Fransco,0.4610
Tennessee,0.4660
Valparaiso,0.4860
W Illinois,0.4560
Idaho,0.4850
Colorado St,0.4670
Penn State,0.5000
Bucknell,0.4780
Utah,0.4890
W Virginia,0.4630
Rutgers,0.5070
Utah Val St,0.4780
Vanderbilt,0.4620
N Dakota St,0.4750
Vermont,0.4720
N Carolina,0.4550
Middle Tenn,0.4610
Gard-Webb,0.4560
Ohio,0.4650
BYU,0.4830
Bradley,0.4510
Georgetown,0.4990
USC,0.4910
Hampton,0.4740
Boise State,0.4930
Arkansas,0.4750
St Fran (PA),0.4860
NC-Grnsboro,0.4810
Iowa State,0.5010
Oklahoma,0.4930
Colorado,0.4850
Dayton,0.4910
South Dakota,0.4760
Iona,0.4620
Howard,0.4860
Grand Canyon,0.4870
Stony Brook,0.4760
Princeton,0.4950
Fresno St,0.4950
Towson,0.4880
Nebraska,0.4720
Boston U,0.4880
New Mexico,0.4930
Indiana,0.5050
E Illinois,0.4730
SE Louisiana,0.4920
N Iowa,0.4970
Seattle,0.5060
LIU-Brooklyn,0.4910
Memphis,0.5270
Texas,0.4780
Mercer,0.4750
Utah State,0.4830
Texas State,0.4860
Temple,0.5050
Harvard,0.4910
E Washingtn,0.4880
Arizona,0.4760
UC Riverside,0.5180
Duquesne,0.5080
Kent State,0.5040
Evansville,0.4820
Kentucky,0.4810
Seton Hall,0.4920
Rider,0.4760
Notre Dame,0.5070
UC Davis,0.4960
St Bonavent,0.4820
Niagara,0.4940
Manhattan,0.5170
S Illinois,0.4650
Alcorn State,0.5030
Tulsa,0.4930
Southern,0.5020
Missouri,0.5160
Geo Mason,0.4810
TX-San Ant,0.5150
Geo Wshgtn,0.5060
TX El Paso,0.4830
N Mex State,0.4770
Miss State,0.4820
Belmont,0.5010
TX Christian,0.5180
Auburn,0.4960
Akron,0.4890
WI-Grn Bay,0.5070
Col Charlestn,0.5050
St Peters,0.4850
CS Fullerton,0.5090
UAB,0.5260
Duke,0.4980
Elon,0.5070
Mt St Marys,0.5190
Hartford,0.5060
Sam Hous St,0.4850
Villanova,0.5220
Saint Louis,0.5150
UNLV,0.5020
Nevada,0.5020
Lehigh,0.4970
Texas Tech,0.5140
TX Southern,0.5310
LA Monroe,0.5140
Samford,0.4810
Stanford,0.5000
Fairfield,0.4990
VA Tech,0.5160
Georgia St,0.4790
Portland,0.4850
Missouri St,0.5060
Syracuse,0.5390
Fla Atlantic,0.5010
Santa Clara,0.5210
S Mississippi,0.5020
North Dakota,0.5130
Rice,0.5100
Iowa,0.5230
Yale,0.4900
NC State,0.5240
Sac State,0.4820
Jackson St,0.5000
Weber State,0.4950
Cal St Nrdge,0.5020
Washington,0.5020
North Texas,0.4830
Loyola-Chi,0.5010
Illinois,0.5020
Troy,0.5170
McNeese St,0.5030
TX-Arlington,0.5030
Alabama St,0.5230
Chattanooga,0.4890
Arkansas St,0.5160
N Illinois,0.5010
E Kentucky,0.5280
IPFW,0.5010
Radford,0.5110
Creighton,0.5010
Denver,0.5170
Coastal Car,0.5360
Cal Poly,0.5130
Siena,0.5210
Providence,0.5270
Oregon St,0.5540
Colgate,0.4920
Michigan,0.5120
N Kentucky,0.4840
Rob Morris,0.4980
Campbell,0.5010
Montana St,0.5110
Army,0.5210
NC A&T,0.4930
Pittsburgh,0.4800
E Michigan,0.5070
Marquette,0.5440
Furman,0.5060
AR Lit Rock,0.5040
St Josephs,0.4950
Fla Gulf Cst,0.5380
Columbia,0.5300
W Kentucky,0.5120
St Johns,0.5100
Marist,0.5150
App State,0.5390
Sacred Hrt,0.5140
Quinnipiac,0.4910
James Mad,0.4800
N Hampshire,0.5060
