Team,Shots
Virginia,49.10
Holy Cross,48.70
Liberty,49.60
Navy,49.20
Fordham,50.20
Ark Pine Bl,50.00
Jackson St,51.60
American,53.90
Old Dominion,53.20
Ste F Austin,51.10
Santa Clara,50.30
Princeton,51.70
AR Lit Rock,52.80
Loyola-MD,51.90
Middle Tenn,52.60
St Marys,54.60
S Carolina,50.20
TN State,51.90
St Peters,52.50
Grambling St,54.80
W Virginia,52.00
Loyola Mymt,51.80
Prairie View,53.50
Texas Tech,52.30
Rhode Island,52.00
Albany,53.20
Texas State,52.30
Loyola-Chi,53.90
WI-Milwkee,51.40
CS Bakersfld,52.30
Stony Brook,54.50
Michigan,55.50
Sam Hous St,54.80
Butler,55.10
Chattanooga,55.20
W Carolina,55.70
Houston,52.50
Abilene Christian,54.90
Rob Morris,55.60
James Mad,53.30
Towson,52.30
Wisconsin,54.90
Hawaii,54.60
Colgate,55.90
St Fran (NY),53.40
Saint Louis,52.40
Pacific,54.40
N Iowa,54.60
Cleveland St,54.80
Stanford,54.20
Montana,53.30
Cal Poly,54.50
SE Missouri,53.10
Alabama,53.80
DePaul,53.70
Wagner,54.10
Evansville,56.60
VCU,54.50
Vermont,56.60
Furman,53.30
Lamar,54.10
San Diego,54.00
Cincinnati,52.20
SE Louisiana,53.00
Fresno St,53.40
Arkansas St,53.20
E Michigan,55.40
S Illinois,54.40
Manhattan,55.00
Illinois St,54.80
TX A&M-CC,55.60
S Methodist,54.30
Campbell,56.60
Presbyterian,55.90
Jacksonville,55.80
Delaware,55.40
Miami (FL),51.90
Jksnville St,55.80
Mercer,55.20
Harvard,55.70
TX El Paso,56.00
Idaho,53.90
Central Conn,56.40
NC-Wilmgton,55.40
Kansas St,55.20
Col Charlestn,53.90
TX-San Ant,55.90
High Point,54.50
Brown,53.30
Hampton,55.30
NC-Asheville,55.00
Dayton,56.10
N Illinois,53.50
N Hampshire,58.60
Wichita St,55.90
California,54.00
Providence,54.20
San Diego St,55.10
U Penn,56.20
NC-Grnsboro,57.20
Morehead St,55.20
Florida Intl,58.20
Georgia St,54.90
E Tenn St,57.30
Detroit,55.90
Oregon St,54.80
SIU Edward,56.90
New Orleans,56.20
Charl South,57.20
Louisville,55.60
Missouri St,55.00
Wofford,54.30
Baylor,54.60
LIU-Brooklyn,55.90
Xavier,56.30
Bradley,57.30
S Alabama,57.60
CS Fullerton,55.60
Oklahoma St,52.70
TN Tech,55.50
Northwestern,55.20
