Team,Shots
Savannah St,69.30
Citadel,70.40
Central Mich,66.60
N Carolina,65.30
UCLA,64.20
Quinnipiac,64.10
IPFW,63.50
WI-Grn Bay,64.60
TX-Pan Am,65.10
Marshall,63.30
Youngs St,65.10
E Illinois,64.00
Kentucky,63.20
W Virginia,59.20
Kent State,60.30
Portland St,64.50
NC-Wilmgton,63.60
Washington,63.10
Iowa State,63.30
Beth-Cook,62.40
Iowa,62.20
Stetson,61.90
Monmouth,60.30
Morehead St,62.60
Arizona St,60.90
Oklahoma St,60.60
Nebraska,64.50
Drexel,62.10
Murray St,63.20
Niagara,62.40
Rider,60.90
Florida St,59.30
Auburn,61.50
Iona,62.40
Montana St,62.90
Neb Omaha,62.10
Louisville,60.30
IUPUI,61.00
Bowling Grn,63.10
LSU,60.40
E Michigan,61.80
Coastal Car,64.00
Fla Atlantic,59.90
LA Lafayette,60.20
Buffalo,61.10
Kansas,62.10
Canisius,61.80
Miss Val St,61.10
St Johns,61.60
SC Upstate,61.90
Maryland BC,59.40
S Utah,61.80
Creighton,60.20
BYU,60.20
Arkansas,58.10
Oral Roberts,60.20
Penn State,60.40
Memphis,60.20
Drake,58.30
Minnesota,59.90
St Fran (NY),58.90
Oklahoma,59.70
Kennesaw St,59.10
USC,60.60
Temple,59.90
Tulane,63.00
Bryant,59.40
Charlotte,59.50
Sam Hous St,61.50
Notre Dame,59.70
Chicago St,59.60
Wyoming,59.70
Mississippi,61.60
Central Ark,59.30
Morgan St,59.60
Hofstra,59.70
Rutgers,58.40
Fairfield,58.10
Lg Beach St,59.80
Houston Bap,59.70
South Dakota,60.50
Houston,58.90
Wake Forest,60.00
Columbia,58.40
Ohio,60.70
Florida A&M,59.10
TX-San Ant,60.40
Charl South,58.10
Alabama St,59.70
Indiana St,60.80
Nevada,60.10
TX-Arlington,58.50
NC State,57.20
Army,59.20
W Michigan,59.60
Cincinnati,57.00
Cleveland St,59.80
Marquette,59.80
Tennessee,58.10
Missouri,59.30
UNLV,57.00
Lipscomb,57.80
N Arizona,60.10
Florida,59.80
Maryland ES,58.70
S Carolina,56.90
Indiana,59.90
S Car State,59.30
Utah Val St,60.70
North Dakota,59.40
Wichita St,59.10
St Fran (PA),59.10
IL-Chicago,59.30
UCSB,59.90
Sacred Hrt,59.20
Elon,58.70
U Mass,57.80
Seton Hall,58.00
Boston Col,60.10
App State,60.90
NJIT,61.20
Montana,59.80
Ball State,58.70
TN Martin,59.20
N Florida,58.30
LA Tech,57.90
Gonzaga,55.90
Winthrop,57.80
Massachusetts Lowell,59.70
Clemson,58.30
Siena,61.00
N Illinois,58.00
Colorado,59.80
UMKC,59.50
North Texas,59.40
Hampton,57.20
VA Military,57.80
Pacific,59.20
Rice,58.60
St Josephs,57.90
Wofford,55.50
Pepperdine,57.40
E Washingtn,57.40
Purdue,58.40
St Bonavent,58.30
Davidson,57.90
VCU,57.20
Northwestern,55.40
Loyola Mymt,57.50
Oregon,58.20
Grand Canyon,59.60
LA Monroe,59.80
Wisconsin,58.80
McNeese St,59.50
Oakland,52.80
Duke,56.80
Fla Gulf Cst,59.10
Cal Poly,57.50
Stony Brook,59.30
Detroit,61.10
S Alabama,59.80
Cal St Nrdge,57.80
Nicholls St,59.50
W Illinois,57.10
TX Christian,58.90
Miss State,57.50
Rhode Island,58.40
Toledo,59.10
CS Bakersfld,58.70
Wm & Mary,58.50
